Source;Target;Weight
1;963;0.15817959093978226
963;1;0.15817959093978226
1;980;0.18316925091363362
980;1;0.18316925091363362
1;1038;0.17219543379409813
1038;1;0.17219543379409813
1;1048;0.16104477175644444
1048;1;0.16104477175644444
1;1107;0.2037950470905062
1107;1;0.2037950470905062
1;1226;0.16207652439312228
1226;1;0.16207652439312228
1;1294;0.38685280723454163
1294;1;0.38685280723454163
1;1332;0.1505149978319906
1332;1;0.1505149978319906
1;1334;0.16207652439312228
1334;1;0.16207652439312228
1;1335;0.15256487060115928
1335;1;0.15256487060115928
1;1346;0.15643778834207153
1346;1;0.15643778834207153
1;1362;0.18790182470910757
1362;1;0.18790182470910757
1;1400;0.20801459767650948
1400;1;0.20801459767650948
1;1406;0.15817959093978226
1406;1;0.15817959093978226
1;1590;0.21810429198553155
1590;1;0.21810429198553155
1;1620;0.16427204996205025
1620;1;0.16427204996205025
1;1622;0.16427204996205025
1622;1;0.16427204996205025
1;1640;0.16427204996205025
1640;1;0.16427204996205025
1;1670;0.21810429198553155
1670;1;0.21810429198553155
1;1679;0.1505149978319906
1679;1;0.1505149978319906
1;1681;0.15561139140249397
1681;1;0.15561139140249397
1;1688;0.3333333333333333
1688;1;0.3333333333333333
1;1706;0.15186115333086322
1706;1;0.15186115333086322
1;1749;0.16666666666666666
1749;1;0.16666666666666666
1;1755;0.15329048865267808
1755;1;0.15329048865267808
1;1788;0.15186115333086322
1788;1;0.15186115333086322
1;1805;0.16005307325482135
1805;1;0.16005307325482135
1;1983;0.16929380759878143
1983;1;0.16929380759878143
1;2065;0.5
2065;1;0.5
1;2097;0.16427204996205025
2097;1;0.16427204996205025
1;2240;0.16666666666666666
2240;1;0.16666666666666666
1;2418;0.1631512196835108
2418;1;0.1631512196835108
1;2462;0.15117821092177644
2462;1;0.15117821092177644
1;2541;0.15643778834207153
2541;1;0.15643778834207153
1;2732;0.15256487060115928
2732;1;0.15256487060115928
1;2861;0.1810425967800402
2861;1;0.1810425967800402
1;2887;0.15186115333086322
2887;1;0.15186115333086322
1;2924;0.16207652439312228
2924;1;0.16207652439312228
1;2956;0.16104477175644444
2956;1;0.16104477175644444
1;2989;0.15643778834207153
2989;1;0.15643778834207153
1;3241;0.1965616322328226
3241;1;0.1965616322328226
1;3311;0.1965616322328226
3311;1;0.1965616322328226
1;3388;0.3010299956639812
3388;1;0.3010299956639812
1;3491;0.15329048865267808
3491;1;0.15329048865267808
1;3516;0.23981246656813146
3516;1;0.23981246656813146
1;3842;0.3333333333333333
3842;1;0.3333333333333333
1;3862;0.22424382421757544
3862;1;0.22424382421757544
1;3873;0.1854490234153689
3873;1;0.1854490234153689
1;3895;0.27894294565112987
3895;1;0.27894294565112987
1;3975;0.21274605355336312
3975;1;0.21274605355336312
1;4127;0.17070727966372012
4127;1;0.17070727966372012
1;4157;0.1631512196835108
4157;1;0.1631512196835108
1;4238;0.1965616322328226
4238;1;0.1965616322328226
1;4248;0.3333333333333333
4248;1;0.3333333333333333
1;4267;0.16207652439312228
4267;1;0.16207652439312228
1;4306;0.2313782131597592
4306;1;0.2313782131597592
1;4631;0.17219543379409813
4631;1;0.17219543379409813
1;4656;0.1810425967800402
4656;1;0.1810425967800402
1;4680;0.15909880786929415
4680;1;0.15909880786929415
1;4688;0.15329048865267808
4688;1;0.15329048865267808
1;4709;0.38685280723454163
4709;1;0.38685280723454163
1;4811;0.17219543379409813
4811;1;0.17219543379409813
1;4844;0.1905514124267734
4844;1;0.1905514124267734
1;4904;0.15186115333086322
4904;1;0.15186115333086322
1;5061;0.2313782131597592
5061;1;0.2313782131597592
1;5152;0.3333333333333333
5152;1;0.3333333333333333
1;5166;0.1572932473495469
5166;1;0.1572932473495469
1;5173;0.16929380759878143
5173;1;0.16929380759878143
1;5224;0.1810425967800402
5224;1;0.1810425967800402
1;5226;0.17718382013555792
5226;1;0.17718382013555792
1;5253;0.3010299956639812
5253;1;0.3010299956639812
1;5264;0.20801459767650948
5264;1;0.20801459767650948
1;5314;0.1810425967800402
5314;1;0.1810425967800402
1;5323;0.15561139140249397
5323;1;0.15561139140249397
1;5340;0.1548123827357682
5340;1;0.1548123827357682
1;5363;0.15643778834207153
5363;1;0.15643778834207153
1;5383;0.15909880786929415
5383;1;0.15909880786929415
1;5385;0.1965616322328226
5385;1;0.1965616322328226
1;5386;0.15329048865267808
5386;1;0.15329048865267808
1;5500;0.20801459767650948
5500;1;0.20801459767650948
1;5506;0.21274605355336312
5506;1;0.21274605355336312
1;5584;0.23981246656813146
5584;1;0.23981246656813146
1;5856;0.16794877895704194
5856;1;0.16794877895704194
1;5887;0.1754250635819545
5887;1;0.1754250635819545
1;5939;0.15817959093978226
5939;1;0.15817959093978226
1;5948;0.17219543379409813
5948;1;0.17219543379409813
1;5963;0.16207652439312228
5963;1;0.16207652439312228
1;6097;0.1965616322328226
6097;1;0.1965616322328226
1;6361;0.22424382421757544
6361;1;0.22424382421757544
1;6422;0.2037950470905062
6422;1;0.2037950470905062
1;6426;0.15329048865267808
6426;1;0.15329048865267808
1;6859;0.18316925091363362
6859;1;0.18316925091363362
1;6860;0.1754250635819545
6860;1;0.1754250635819545
1;7161;0.15817959093978226
7161;1;0.15817959093978226
1;7199;0.21274605355336312
7199;1;0.21274605355336312
1;7264;0.15117821092177644
7264;1;0.15117821092177644
1;7407;0.15817959093978226
7407;1;0.15817959093978226
1;7593;0.17376534287144002
7593;1;0.17376534287144002
1;7622;0.22424382421757544
7622;1;0.22424382421757544
1;7832;0.15329048865267808
7832;1;0.15329048865267808
1;7935;0.16794877895704194
7935;1;0.16794877895704194
2;6;0.15817959093978226
6;2;0.15817959093978226
2;7;0.15403922195426356
7;2;0.15403922195426356
2;8;0.1572932473495469
8;2;0.1572932473495469
2;10;0.1854490234153689
10;2;0.1854490234153689
2;11;0.38685280723454163
11;2;0.38685280723454163
2;12;0.5
12;2;0.5
2;17;0.1631512196835108
17;2;0.1631512196835108
2;18;0.15909880786929415
18;2;0.15909880786929415
2;20;0.21274605355336312
20;2;0.21274605355336312
2;22;0.15643778834207153
22;2;0.15643778834207153
2;24;0.17219543379409813
24;2;0.17219543379409813
2;31;0.18790182470910757
31;2;0.18790182470910757
2;32;0.15117821092177644
32;2;0.15117821092177644
2;43;0.1631512196835108
43;2;0.1631512196835108
2;50;0.1854490234153689
50;2;0.1854490234153689
2;54;0.1505149978319906
54;2;0.1505149978319906
2;58;0.1754250635819545
58;2;0.1754250635819545
2;67;0.1810425967800402
67;2;0.1810425967800402
2;81;0.2037950470905062
81;2;0.2037950470905062
2;83;0.18790182470910757
83;2;0.18790182470910757
2;86;0.17070727966372012
86;2;0.17070727966372012
2;88;0.16005307325482135
88;2;0.16005307325482135
2;97;0.17718382013555792
97;2;0.17718382013555792
2;102;0.1572932473495469
102;2;0.1572932473495469
2;154;0.17718382013555792
154;2;0.17718382013555792
2;166;0.2313782131597592
166;2;0.2313782131597592
2;170;0.15817959093978226
170;2;0.15817959093978226
2;187;0.19342640361727081
187;2;0.19342640361727081
2;198;0.15117821092177644
198;2;0.15117821092177644
2;206;0.15186115333086322
206;2;0.15186115333086322
2;225;0.2
225;2;0.2
2;237;0.17718382013555792
237;2;0.17718382013555792
2;264;0.15329048865267808
264;2;0.15329048865267808
2;265;0.27894294565112987
265;2;0.27894294565112987
2;299;0.16929380759878143
299;2;0.16929380759878143
2;317;0.15403922195426356
317;2;0.15403922195426356
2;341;1.0
341;2;1.0
2;359;0.18316925091363362
359;2;0.18316925091363362
2;365;0.27894294565112987
365;2;0.27894294565112987
2;369;0.19342640361727081
369;2;0.19342640361727081
2;374;0.16666666666666666
374;2;0.16666666666666666
2;416;0.16427204996205025
416;2;0.16427204996205025
2;420;0.15909880786929415
420;2;0.15909880786929415
2;422;0.17718382013555792
422;2;0.17718382013555792
2;444;0.23981246656813146
444;2;0.23981246656813146
2;451;0.38685280723454163
451;2;0.38685280723454163
2;456;0.16544255391905832
456;2;0.16544255391905832
2;498;0.16005307325482135
498;2;0.16005307325482135
2;508;0.17718382013555792
508;2;0.17718382013555792
2;510;0.21274605355336312
510;2;0.21274605355336312
2;519;0.1572932473495469
519;2;0.1572932473495469
2;522;0.17070727966372012
522;2;0.17070727966372012
2;525;0.25
525;2;0.25
2;554;0.15561139140249397
554;2;0.15561139140249397
2;590;0.2
590;2;0.2
2;606;0.18790182470910757
606;2;0.18790182470910757
2;611;0.3333333333333333
611;2;0.3333333333333333
2;612;0.16666666666666666
612;2;0.16666666666666666
2;620;0.15329048865267808
620;2;0.15329048865267808
2;656;0.20801459767650948
656;2;0.20801459767650948
2;658;0.1810425967800402
658;2;0.1810425967800402
2;661;0.1631512196835108
661;2;0.1631512196835108
2;663;0.18316925091363362
663;2;0.18316925091363362
2;673;0.19342640361727081
673;2;0.19342640361727081
2;687;0.16005307325482135
687;2;0.16005307325482135
2;692;0.26264953503719357
692;2;0.26264953503719357
2;732;0.1548123827357682
732;2;0.1548123827357682
2;733;0.1548123827357682
733;2;0.1548123827357682
2;739;0.2313782131597592
739;2;0.2313782131597592
2;773;0.16544255391905832
773;2;0.16544255391905832
2;778;0.1505149978319906
778;2;0.1505149978319906
2;780;0.16005307325482135
780;2;0.16005307325482135
2;798;0.15561139140249397
798;2;0.15561139140249397
2;813;0.15643778834207153
813;2;0.15643778834207153
2;829;0.38685280723454163
829;2;0.38685280723454163
2;877;0.15643778834207153
877;2;0.15643778834207153
2;882;0.16207652439312228
882;2;0.16207652439312228
2;973;0.16666666666666666
973;2;0.16666666666666666
2;986;0.1905514124267734
986;2;0.1905514124267734
2;987;0.5
987;2;0.5
2;997;0.2313782131597592
997;2;0.2313782131597592
2;1027;0.2313782131597592
1027;2;0.2313782131597592
2;1038;0.16929380759878143
1038;2;0.16929380759878143
2;1086;0.27894294565112987
1086;2;0.27894294565112987
2;1141;0.15643778834207153
1141;2;0.15643778834207153
2;1213;0.15256487060115928
1213;2;0.15256487060115928
2;1223;0.15817959093978226
1223;2;0.15817959093978226
2;1246;0.16666666666666666
1246;2;0.16666666666666666
2;1265;0.16929380759878143
1265;2;0.16929380759878143
2;1325;0.15186115333086322
1325;2;0.15186115333086322
2;1342;0.15256487060115928
1342;2;0.15256487060115928
2;1355;0.5
1355;2;0.5
2;1383;0.21810429198553155
1383;2;0.21810429198553155
2;1434;0.21274605355336312
1434;2;0.21274605355336312
2;1451;0.22424382421757544
1451;2;0.22424382421757544
2;1452;0.2
1452;2;0.2
2;1464;0.15117821092177644
1464;2;0.15117821092177644
2;1484;0.2037950470905062
1484;2;0.2037950470905062
2;1486;0.15643778834207153
1486;2;0.15643778834207153
2;1499;0.38685280723454163
1499;2;0.38685280723454163
2;1589;0.15329048865267808
1589;2;0.15329048865267808
2;1643;0.1572932473495469
1643;2;0.1572932473495469
2;1649;0.17070727966372012
1649;2;0.17070727966372012
2;1673;0.16929380759878143
1673;2;0.16929380759878143
2;1678;0.15329048865267808
1678;2;0.15329048865267808
2;1683;0.1754250635819545
1683;2;0.1754250635819545
2;1723;0.1548123827357682
1723;2;0.1548123827357682
2;1734;0.18790182470910757
1734;2;0.18790182470910757
2;1739;0.15117821092177644
1739;2;0.15117821092177644
2;1750;0.1854490234153689
1750;2;0.1854490234153689
2;1777;0.5
1777;2;0.5
2;1808;0.15403922195426356
1808;2;0.15403922195426356
2;1955;0.17219543379409813
1955;2;0.17219543379409813
2;1964;0.1810425967800402
1964;2;0.1810425967800402
2;1987;0.1572932473495469
1987;2;0.1572932473495469
2;2025;0.26264953503719357
2025;2;0.26264953503719357
2;2036;0.22424382421757544
2036;2;0.22424382421757544
2;2109;0.27894294565112987
2109;2;0.27894294565112987
2;2128;0.15329048865267808
2128;2;0.15329048865267808
2;2161;1.0
2161;2;1.0
2;2181;0.18790182470910757
2181;2;0.18790182470910757
2;2206;0.1572932473495469
2206;2;0.1572932473495469
2;2228;0.15561139140249397
2228;2;0.15561139140249397
2;2234;0.21274605355336312
2234;2;0.21274605355336312
2;2248;0.22424382421757544
2248;2;0.22424382421757544
2;2285;0.1548123827357682
2285;2;0.1548123827357682
2;2290;0.21274605355336312
2290;2;0.21274605355336312
2;2330;0.26264953503719357
2330;2;0.26264953503719357
2;2331;0.27894294565112987
2331;2;0.27894294565112987
2;2379;0.22424382421757544
2379;2;0.22424382421757544
2;2384;0.16207652439312228
2384;2;0.16207652439312228
2;2389;0.15643778834207153
2389;2;0.15643778834207153
2;2435;0.1754250635819545
2435;2;0.1754250635819545
2;2443;0.16104477175644444
2443;2;0.16104477175644444
2;2495;0.15909880786929415
2495;2;0.15909880786929415
2;2536;0.2
2536;2;0.2
2;2537;0.3333333333333333
2537;2;0.3333333333333333
2;2547;0.17219543379409813
2547;2;0.17219543379409813
2;2557;0.2037950470905062
2557;2;0.2037950470905062
2;2563;0.1548123827357682
2563;2;0.1548123827357682
2;2627;0.17376534287144002
2627;2;0.17376534287144002
2;2630;0.18316925091363362
2630;2;0.18316925091363362
2;2643;0.16207652439312228
2643;2;0.16207652439312228
2;2677;0.16929380759878143
2677;2;0.16929380759878143
2;2846;0.16794877895704194
2846;2;0.16794877895704194
2;2918;0.15186115333086322
2918;2;0.15186115333086322
2;2939;0.21274605355336312
2939;2;0.21274605355336312
2;3070;0.3010299956639812
3070;2;0.3010299956639812
2;3156;0.3010299956639812
3156;2;0.3010299956639812
2;3201;0.3010299956639812
3201;2;0.3010299956639812
2;3307;0.15643778834207153
3307;2;0.15643778834207153
2;3362;0.15561139140249397
3362;2;0.15561139140249397
2;3392;0.23981246656813146
3392;2;0.23981246656813146
2;3410;0.17905223175104137
3410;2;0.17905223175104137
2;3423;0.19342640361727081
3423;2;0.19342640361727081
2;3483;0.16005307325482135
3483;2;0.16005307325482135
2;3660;0.17718382013555792
3660;2;0.17718382013555792
2;3707;0.5
3707;2;0.5
2;3854;1.0
3854;2;1.0
2;3875;0.1548123827357682
3875;2;0.1548123827357682
2;3909;0.2
3909;2;0.2
2;4002;0.3333333333333333
4002;2;0.3333333333333333
2;4035;0.1631512196835108
4035;2;0.1631512196835108
2;4067;0.16207652439312228
4067;2;0.16207652439312228
2;4090;0.25
4090;2;0.25
2;4140;0.15643778834207153
4140;2;0.15643778834207153
2;4243;0.1754250635819545
4243;2;0.1754250635819545
2;4295;0.19342640361727081
4295;2;0.19342640361727081
2;4322;0.16427204996205025
4322;2;0.16427204996205025
2;4430;0.16207652439312228
4430;2;0.16207652439312228
2;4433;0.1905514124267734
4433;2;0.1905514124267734
2;4467;0.2313782131597592
4467;2;0.2313782131597592
2;4546;0.15403922195426356
4546;2;0.15403922195426356
2;4557;1.0
4557;2;1.0
2;4559;0.17376534287144002
4559;2;0.17376534287144002
2;4562;0.18790182470910757
4562;2;0.18790182470910757
2;4614;0.16666666666666666
4614;2;0.16666666666666666
2;4668;0.17905223175104137
4668;2;0.17905223175104137
2;4683;0.38685280723454163
4683;2;0.38685280723454163
2;4732;0.1505149978319906
4732;2;0.1505149978319906
2;4747;0.15561139140249397
4747;2;0.15561139140249397
2;4785;0.1854490234153689
4785;2;0.1854490234153689
2;4835;1.0
4835;2;1.0
2;4882;0.15117821092177644
4882;2;0.15117821092177644
2;4892;0.15909880786929415
4892;2;0.15909880786929415
2;4983;0.3333333333333333
4983;2;0.3333333333333333
2;5115;0.27894294565112987
5115;2;0.27894294565112987
2;5128;0.15117821092177644
5128;2;0.15117821092177644
2;5150;0.3333333333333333
5150;2;0.3333333333333333
2;5228;0.15117821092177644
5228;2;0.15117821092177644
2;5349;0.17905223175104137
5349;2;0.17905223175104137
2;5407;0.17219543379409813
5407;2;0.17219543379409813
2;5463;0.15817959093978226
5463;2;0.15817959093978226
2;5473;0.17376534287144002
5473;2;0.17376534287144002
2;5505;0.1754250635819545
5505;2;0.1754250635819545
2;5513;0.16794877895704194
5513;2;0.16794877895704194
2;5601;0.21810429198553155
5601;2;0.21810429198553155
2;5648;1.0
5648;2;1.0
2;5714;0.16666666666666666
5714;2;0.16666666666666666
2;5759;0.1548123827357682
5759;2;0.1548123827357682
2;5782;0.21810429198553155
5782;2;0.21810429198553155
2;5857;0.21274605355336312
5857;2;0.21274605355336312
2;5882;0.3010299956639812
5882;2;0.3010299956639812
2;5891;0.17219543379409813
5891;2;0.17219543379409813
2;5896;0.21274605355336312
5896;2;0.21274605355336312
2;5905;0.27894294565112987
5905;2;0.27894294565112987
2;5982;0.16207652439312228
5982;2;0.16207652439312228
2;5986;0.1572932473495469
5986;2;0.1572932473495469
2;6106;0.16427204996205025
6106;2;0.16427204996205025
2;6262;0.22424382421757544
6262;2;0.22424382421757544
2;6363;0.17376534287144002
6363;2;0.17376534287144002
2;6423;0.2037950470905062
6423;2;0.2037950470905062
2;6434;0.15909880786929415
6434;2;0.15909880786929415
2;6461;0.27894294565112987
6461;2;0.27894294565112987
2;6631;0.2037950470905062
6631;2;0.2037950470905062
2;6723;0.16544255391905832
6723;2;0.16544255391905832
2;6724;0.21810429198553155
6724;2;0.21810429198553155
2;6754;0.17219543379409813
6754;2;0.17219543379409813
2;6760;0.5
6760;2;0.5
2;6761;0.17219543379409813
6761;2;0.17219543379409813
2;6797;0.16427204996205025
6797;2;0.16427204996205025
2;6809;0.1631512196835108
6809;2;0.1631512196835108
2;6916;0.15117821092177644
6916;2;0.15117821092177644
2;6970;0.18790182470910757
6970;2;0.18790182470910757
2;6975;0.26264953503719357
6975;2;0.26264953503719357
2;7062;0.15329048865267808
7062;2;0.15329048865267808
2;7083;0.1572932473495469
7083;2;0.1572932473495469
2;7160;0.1854490234153689
7160;2;0.1854490234153689
2;7179;0.1905514124267734
7179;2;0.1905514124267734
2;7260;0.3333333333333333
7260;2;0.3333333333333333
2;7336;0.15329048865267808
7336;2;0.15329048865267808
2;7532;0.16666666666666666
7532;2;0.16666666666666666
2;7589;0.17905223175104137
7589;2;0.17905223175104137
2;7611;0.1854490234153689
7611;2;0.1854490234153689
2;7630;0.5
7630;2;0.5
2;7717;0.1505149978319906
7717;2;0.1505149978319906
2;7794;0.17905223175104137
7794;2;0.17905223175104137
2;7813;0.16005307325482135
7813;2;0.16005307325482135
2;7877;0.16005307325482135
7877;2;0.16005307325482135
2;7905;0.18316925091363362
7905;2;0.18316925091363362
3;6;0.15403922195426356
6;3;0.15403922195426356
3;7;0.20801459767650948
7;3;0.20801459767650948
3;11;0.26264953503719357
11;3;0.26264953503719357
3;14;0.1631512196835108
14;3;0.1631512196835108
3;18;0.5
18;3;0.5
3;45;0.15403922195426356
45;3;0.15403922195426356
3;48;0.3333333333333333
48;3;0.3333333333333333
3;95;0.1754250635819545
95;3;0.1754250635819545
3;97;0.15403922195426356
97;3;0.15403922195426356
3;118;0.16427204996205025
118;3;0.16427204996205025
3;137;0.1754250635819545
137;3;0.1754250635819545
3;150;0.38685280723454163
150;3;0.38685280723454163
3;172;0.1754250635819545
172;3;0.1754250635819545
3;177;1.0
177;3;1.0
3;214;0.15643778834207153
214;3;0.15643778834207153
3;244;0.38685280723454163
244;3;0.38685280723454163
3;246;0.1548123827357682
246;3;0.1548123827357682
3;365;0.15817959093978226
365;3;0.15817959093978226
3;391;0.17219543379409813
391;3;0.17219543379409813
3;406;0.15256487060115928
406;3;0.15256487060115928
3;407;0.16929380759878143
407;3;0.16929380759878143
3;414;0.27894294565112987
414;3;0.27894294565112987
3;443;0.1854490234153689
443;3;0.1854490234153689
3;471;0.15909880786929415
471;3;0.15909880786929415
3;585;0.16427204996205025
585;3;0.16427204996205025
3;667;0.15817959093978226
667;3;0.15817959093978226
3;756;0.17070727966372012
756;3;0.17070727966372012
3;763;0.16207652439312228
763;3;0.16207652439312228
3;765;0.16544255391905832
765;3;0.16544255391905832
3;780;0.20801459767650948
780;3;0.20801459767650948
3;794;0.27894294565112987
794;3;0.27894294565112987
3;879;0.16929380759878143
879;3;0.16929380759878143
3;904;0.16005307325482135
904;3;0.16005307325482135
3;972;0.1548123827357682
972;3;0.1548123827357682
3;1142;0.1505149978319906
1142;3;0.1505149978319906
3;1212;0.17905223175104137
1212;3;0.17905223175104137
3;1225;0.15186115333086322
1225;3;0.15186115333086322
3;1521;0.17905223175104137
1521;3;0.17905223175104137
3;1668;0.38685280723454163
1668;3;0.38685280723454163
3;1748;0.2313782131597592
1748;3;0.2313782131597592
3;1942;0.2313782131597592
1942;3;0.2313782131597592
3;2230;0.26264953503719357
2230;3;0.26264953503719357
3;2284;0.2037950470905062
2284;3;0.2037950470905062
3;2291;0.15817959093978226
2291;3;0.15817959093978226
3;2368;0.17376534287144002
2368;3;0.17376534287144002
3;2370;0.22424382421757544
2370;3;0.22424382421757544
3;2457;0.23981246656813146
2457;3;0.23981246656813146
3;2558;0.21274605355336312
2558;3;0.21274605355336312
3;2659;0.15561139140249397
2659;3;0.15561139140249397
3;2775;0.1965616322328226
2775;3;0.1965616322328226
3;2800;0.17718382013555792
2800;3;0.17718382013555792
3;2853;0.16794877895704194
2853;3;0.16794877895704194
3;2973;0.18316925091363362
2973;3;0.18316925091363362
3;3014;0.3010299956639812
3014;3;0.3010299956639812
3;3150;0.17905223175104137
3150;3;0.17905223175104137
3;3235;0.15817959093978226
3235;3;0.15817959093978226
3;3382;0.20801459767650948
3382;3;0.20801459767650948
3;3400;0.22424382421757544
3400;3;0.22424382421757544
3;3460;0.15909880786929415
3460;3;0.15909880786929415
3;3486;0.16794877895704194
3486;3;0.16794877895704194
3;3522;0.19342640361727081
3522;3;0.19342640361727081
3;3565;0.1631512196835108
3565;3;0.1631512196835108
3;3984;0.27894294565112987
3984;3;0.27894294565112987
3;4010;0.1548123827357682
4010;3;0.1548123827357682
3;4081;0.19342640361727081
4081;3;0.19342640361727081
3;4177;0.16794877895704194
4177;3;0.16794877895704194
3;4281;0.1965616322328226
4281;3;0.1965616322328226
3;4291;0.2313782131597592
4291;3;0.2313782131597592
3;4495;0.15256487060115928
4495;3;0.15256487060115928
3;4981;0.26264953503719357
4981;3;0.26264953503719357
3;4999;0.15117821092177644
4999;3;0.15117821092177644
3;5184;0.20801459767650948
5184;3;0.20801459767650948
3;5237;0.2313782131597592
5237;3;0.2313782131597592
3;5303;0.15329048865267808
5303;3;0.15329048865267808
3;5308;0.15403922195426356
5308;3;0.15403922195426356
3;5342;0.22424382421757544
5342;3;0.22424382421757544
3;5405;0.2313782131597592
5405;3;0.2313782131597592
3;5525;0.38685280723454163
5525;3;0.38685280723454163
3;5605;0.15561139140249397
5605;3;0.15561139140249397
3;5611;1.0
5611;3;1.0
3;5816;0.3333333333333333
5816;3;0.3333333333333333
3;5852;0.2
5852;3;0.2
3;5973;0.1810425967800402
5973;3;0.1810425967800402
3;6041;0.25
6041;3;0.25
3;6084;0.18790182470910757
6084;3;0.18790182470910757
3;6178;0.21274605355336312
6178;3;0.21274605355336312
3;6398;0.15561139140249397
6398;3;0.15561139140249397
3;6650;0.3010299956639812
6650;3;0.3010299956639812
3;6791;0.15256487060115928
6791;3;0.15256487060115928
3;6970;0.16544255391905832
6970;3;0.16544255391905832
3;7935;0.17219543379409813
7935;3;0.17219543379409813
4;6;0.15817959093978226
6;4;0.15817959093978226
4;7;0.16427204996205025
7;4;0.16427204996205025
4;9;0.16104477175644444
9;4;0.16104477175644444
4;10;0.17718382013555792
10;4;0.17718382013555792
4;11;0.15256487060115928
11;4;0.15256487060115928
4;14;0.1754250635819545
14;4;0.1754250635819545
4;19;0.27894294565112987
19;4;0.27894294565112987
4;21;0.21274605355336312
21;4;0.21274605355336312
4;26;0.21810429198553155
26;4;0.21810429198553155
4;27;0.15329048865267808
27;4;0.15329048865267808
4;39;0.17905223175104137
39;4;0.17905223175104137
4;44;0.15329048865267808
44;4;0.15329048865267808
4;83;0.20801459767650948
83;4;0.20801459767650948
4;87;0.15403922195426356
87;4;0.15403922195426356
4;89;0.16427204996205025
89;4;0.16427204996205025
4;91;0.15561139140249397
91;4;0.15561139140249397
4;120;0.3333333333333333
120;4;0.3333333333333333
4;144;0.15256487060115928
